GH1	&beta;-glucosidase (EC ); &beta;-galactosidase (EC ); &beta;-mannosidase (EC ); &beta;-glucuronidase (EC ); &beta;-xylosidase (EC ); &beta;-D-fucosidase (EC ); phlorizin hydrolase (EC ); exo-&beta;-1,4-glucanase (EC ); 6-phospho-&beta;-galactosidase (EC ); 6-phospho-&beta;-glucosidase (EC ); strictosidine &beta;-glucosidase (EC ); lactase (EC ); amygdalin &beta;-glucosidase (EC ); prunasin &beta;-glucosidase (EC ); vicianin hydrolase (EC ); raucaffricine &beta;-glucosidase (EC ); thioglucosidase (EC ); &beta;-primeverosidase (EC ); isoflavonoid 7-O-&beta;-apiosyl-&beta;-glucosidase (EC ); ABA-specific &beta;-glucosidase (EC ); DIMBOA &beta;-glucosidase (EC ); &beta;-glycosidase (EC ); hydroxyisourate hydrolase (EC ); &beta;-rutinosidase /&alpha;-L-rhamnose-(1,6)-&beta;-D-glucosidase (EC ); protodioscin 26-O-ÃÂ²-D-glucosidase (EC )
GH2	&beta;-galactosidase (EC ) ; &beta;-mannosidase (EC ); &beta;-glucuronidase (EC ); &alpha;-L-arabinofuranosidase (EC ); mannosylglycoprotein endo-&beta;-mannosidase (EC ); exo-&beta;-glucosaminidase (EC ); &alpha;-L-arabinopyranosidase (EC ); &beta;-galacturonidase (EC ); &beta;-xylosidase (EC ); &beta;-D-galactofuranosidase (EC ); &beta;-glucosidase (EC )
GH3	&beta;-glucosidase (EC ); xylan 1,4-&beta;-xylosidase (EC ); &beta;-glucosylceramidase (EC ); &beta;-N-acetylhexosaminidase (EC ); &alpha;-L-arabinofuranosidase (EC ); glucan 1,4-&beta;-glucosidase (EC ); isoprimeverose-producing oligoxyloglucan hydrolase (EC ); coniferin &beta;-glucosidase (EC ); exo-1,3-1,4-glucanase (EC ); &beta;-N-acetylglucosaminide phosphorylases (EC ); &beta;-1,2-glucosidase (EC ); &beta;-1,3-glucosidase (EC ); xyloglucan-specific exo-&beta;-1,4-glucanase / exo-xyloglucanase (EC ); stevioside-&beta;-1,2-glucosidase (EC ); lichenase / endo-&beta;-1,3-1,4-glucanase (EC ); protodioscin 26-O-&beta;-D-glucosidase (EC ); &beta;-glucuronidase (EC )
GH4	maltose-6-phosphate glucosidase (EC ); &alpha;-glucosidase (EC ); &alpha;-galactosidase (EC ); 6-phospho-&beta;-glucosidase (EC ); &alpha;-glucuronidase (EC ); &alpha;-galacturonase (EC ); palatinase (EC )
GH5	endo-&beta;-1,4-glucanase / cellulase (EC ); endo-&beta;-1,4-xylanase (EC ); &beta;-glucosidase (EC ); &beta;-mannosidase (EC ); &beta;-glucosylceramidase (EC ); glucan &beta;-1,3-glucosidase (EC ); exo-&beta;-1,4-glucanase / cellodextrinase (EC ); glucan endo-1,6-&beta;-glucosidase (EC ); mannan endo-&beta;-1,4-mannosidase (EC ); cellulose &beta;-1,4-cellobiosidase (EC ); steryl &beta;-glucosidase (EC ); endoglycoceramidase (EC ); &beta;-primeverosidase (EC ); xyloglucan-specific endo-&beta;-1,4-glucanase (EC ); endo-&beta;-1,6-galactanase (EC ); &beta;-1,3-mannanase (EC ); arabinoxylan-specific endo-&beta;-1,4-xylanase (EC ); mannan transglycosylase (EC ); lichenase / endo-&beta;-1,3-1,4-glucanase (EC ); &beta;-glycosidase (EC ); endo-&beta;-1,3-glucanase / laminarinase (EC ); &beta;-N-acetylhexosaminidase (EC ); chitosanase (EC ); &beta;-D-galactofuranosidase (EC ); &beta;-galactosylceramidase (EC ); ; &beta;-rutinosidase /&alpha;-L-rhamnose-(1,6)-&beta;-D-glucosidase (EC ); &alpha;-L-arabinofuranosidase (EC ); glucomannan-specific endo-&beta;-1,4-glucanase (EC ); hesperidin 6-O-&alpha;-L-rhamnosyl-&beta;-glucosidase (EC )
GH6	endoglucanase (EC ); cellobiohydrolase (EC ); lichenase / endo-&beta;-1,3-1,4-glucanase (EC );
GH7	endo-&beta;-1,4-glucanase (EC ); reducing end-acting cellobiohydrolase (EC ); chitosanase (EC ); endo-&beta;-1,3-1,4-glucanase (EC ) 
GH8	chitosanase (EC ); cellulase (EC ); licheninase (EC ); endo-1,4-&beta;-xylanase (EC ); reducing-end-xylose releasing exo-oligoxylanase (EC ); endo-&beta;-1,3(4)-glucanase / lichenase-laminarinase (EC )
GH9	endoglucanase (EC ); endo-&beta;-1,3(4)-glucanase / lichenase-laminarinase (EC ); lichenase / endo-&beta;-1,3-1,4-glucanase (EC ); exo-&beta;-1,4-glucanase / cellodextrinase (EC ); cellobiohydrolase (EC ); xyloglucan-specific endo-&beta;-1,4-glucanase / endo-xyloglucanase (EC ); exo-&beta;-glucosaminidase (EC ); endo-&beta;-1,4-glucanase (xanthanase) (EC )
GH10	endo-1,4-&beta;-xylanase (EC ); endo-1,3-&beta;-xylanase (EC ); tomatinase (EC ); xylan endotransglycosylase (EC ); endo-&beta;-1,4-glucanase (EC ); [retaining] arabinoxylan-specific endo-&beta;-1,4-xylanase (EC ); oligosaccharide reducing-end xylanase (EC )
GH11	endo-&beta;-1,4-xylanase (EC ); exo-1,4-&beta;-xylosidase (EC )
GH12	endoglucanase (EC ); xyloglucan hydrolase (EC ); &beta;-1,3-1,4-glucanase (EC ); xyloglucan endotransglycosylase (EC )
GH13	&alpha;-amylase (EC ); pullulanase (EC ); cyclomaltodextrin glucanotransferase (EC ); cyclomaltodextrinase (EC ); trehalose-6-phosphate hydrolase (EC ); oligo-&alpha;-glucosidase (EC ); maltogenic amylase (EC ); neopullulanase (EC ); &alpha;-glucosidase (EC ); maltotetraose-forming &alpha;-amylase (EC ); isoamylase (EC ); glucodextranase (EC ); maltohexaose-forming &alpha;-amylase (EC ); maltotriose-forming &alpha;-amylase (EC ); branching enzyme (EC ); trehalose synthase (EC ); 4-&alpha;-glucanotransferase (EC ); maltopentaose-forming &alpha;-amylase (EC ) ; amylosucrase (EC ) ; sucrose phosphorylase (EC ); malto-oligosyltrehalose trehalohydrolase (EC ); isomaltulose synthase (EC ); malto-oligosyltrehalose synthase (EC ); amylo-&alpha;-1,6-glucosidase (EC ); &alpha;-1,4-glucan: phosphate &alpha;-maltosyltransferase (EC ); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC ); [retaining] glucosylglycerol phosphorylase (EC ); ; Glucosylglycerate phosphorylase (EC ); [retaining] sucrose &alpha;-glucosidase (EC ); oligosaccharide &alpha;-4-glucosyltransferase (EC ); [retaining] &alpha;-amylase (EC );
GH14	&beta;-amylase (EC )
GH15	glucoamylase (EC ); glucodextranase (EC ); &alpha;,&alpha;-trehalase (EC ); dextran dextrinase (EC )
GH16	xyloglucan:xyloglucosyltransferase (EC ); keratan-sulfate endo-1,4-&beta;-galactosidase (EC ); endo-1,3-&beta;-glucanase / laminarinase (EC ); endo-1,3(4)-&beta;-glucanase (EC ); licheninase (EC ); &beta;-agarase (EC ); &kappa;-carrageenase (EC ); xyloglucanase (EC ); endo-&beta;-1,3-galactanase (EC ); [retaining] &beta;-porphyranase (EC ); hyaluronidase (EC ); endo-&beta;-1,4-galactosidase (EC ); chitin &beta;-1,6-glucanosyltransferase (EC ); &beta;-transglycosidase (EC ); &beta;-glycosidase (EC ); &beta;-carrageenase (EC )
GH17	glucan endo-1,3-&beta;-glucosidase (EC ); licheninase (EC ); ABA-specific &beta;-glucosidase (EC ); &beta;-1,3-glucanosyltransglycosylase (EC ); &beta;-1,3-glucosidase (EC )
GH18	chitinase (EC ); lysozyme (EC ); endo-&beta;-N-acetylglucosaminidase (EC ); peptidoglycan hydrolase with endo-&beta;-N-acetylglucosaminidase specificity (EC ); Nod factor hydrolase (EC ); xylanase inhibitor; concanavalin B; narbonin; d&Iota;-N-acetylchitobiase / reducing-end exo-hexosaminidase (EC )
GH19	chitinase (EC ); lysozyme (EC ); [reducing end] chitinase (EC )
GH20	&beta;-hexosaminidase (EC ); lacto-N-biosidase (EC ); &beta;-1,6-N-acetylglucosaminidase (EC ); &beta;-6-SO3-N-acetylglucosaminidase (EC )
GH21	Deleted family!
